Test Case ID	Test Case Description	Created By	Reviewed By	Version	Tester Name	Date Tested	Test Case Status	Prerequisite #	Prerequisite	Test Data #	Test Data	Step #	Step Details	Expected Results	Actual Results	Step Status
LGN_BB_001	Kiểm tra truy cập trang đăng nhập thành công	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Người dùng chưa đăng nhập	1	URL: /login	1	Truy cập /login	Hiển thị form đăng nhập	Chưa thực thi	Not Executed
LGN_BB_001	Kiểm tra truy cập trang đăng nhập thành công	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	Trình duyệt hoạt động bình thường	2	Quan sát form	2	Quan sát các thành phần form	Có Email, Password, nút Log In, nút Google	Chưa thực thi	Not Executed
LGN_BB_002	Đăng nhập thành công với email/password hợp lệ	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Tài khoản local hợp lệ tồn tại	1	Email: local_user@example.com	1	Nhập email và password đúng	Giá trị được nhập	Chưa thực thi	Not Executed
LGN_BB_002	Đăng nhập thành công với email/password hợp lệ	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	Người dùng đang ở trang login	2	Password đúng	2	Click Log In	Đăng nhập thành công và chuyển trang	Chưa thực thi	Not Executed
LGN_BB_003	Đăng nhập thất bại khi email để trống	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Đang ở trang login	1	Email: (rỗng)	1	Để trống email, nhập password	Giá trị password được nhập	Chưa thực thi	Not Executed
LGN_BB_003	Đăng nhập thất bại khi email để trống	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	-	2	Password: 123456	2	Click Log In	Không đăng nhập, hiển thị lỗi	Chưa thực thi	Not Executed
LGN_BB_004	Đăng nhập thất bại khi mật khẩu để trống	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Đang ở trang login	1	Email: local_user@example.com	1	Nhập email, để trống password	Giá trị email được nhập	Chưa thực thi	Not Executed
LGN_BB_004	Đăng nhập thất bại khi mật khẩu để trống	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	-	2	Password: (rỗng)	2	Click Log In	Không đăng nhập, hiển thị lỗi	Chưa thực thi	Not Executed
LGN_BB_005	Đăng nhập thất bại khi email không tồn tại	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Không có user với email test	1	Email: not_found@example.com	1	Nhập email không tồn tại và password	Giá trị được nhập	Chưa thực thi	Not Executed
LGN_BB_005	Đăng nhập thất bại khi email không tồn tại	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	-	2	Password: 123456	2	Click Log In	Không đăng nhập, báo lỗi tài khoản	Chưa thực thi	Not Executed
